rank,full_name,stargazers_count,clone_url,html_url,language,description
84,LSPosed/LSPosed,21377,https://github.com/LSPosed/LSPosed.git,https://github.com/LSPosed/LSPosed,Java,LSPosed Framework
85,CarGuo/GSYVideoPlayer,21060,https://github.com/CarGuo/GSYVideoPlayer.git,https://github.com/CarGuo/GSYVideoPlayer,Java,"视频播放器（IJKplayer、ExoPlayer、MediaPlayer），HTTPS，16k page size，支持弹幕，外挂字幕，支持滤镜、水印、gif截图，片头广告、中间广告，多个同时播放，支持基本的拖动，声音、亮度调节，支持边播边缓存，支持视频自带rotation的旋转（90,270之类），重力旋转与手动旋转的同步支持，支持列表播放 ，列表全屏动画，视频加载速度，列表小窗口支持拖动，动画效果，调整比例，多分辨率切换，支持切换播放器，进度条小窗口预览，列表切换详情页面无缝播放，rtsp、concat、mpeg。 "
86,oracle/graal,21050,https://github.com/oracle/graal.git,https://github.com/oracle/graal,Java,"GraalVM compiles Java applications into native executables that start instantly, scale fast, and use fewer compute resources 🚀"
87,brettwooldridge/HikariCP,20669,https://github.com/brettwooldridge/HikariCP.git,https://github.com/brettwooldridge/HikariCP,Java,"光 HikariCP・A solid, high-performance, JDBC connection pool at last."
88,kestra-io/kestra,20432,https://github.com/kestra-io/kestra.git,https://github.com/kestra-io/kestra,Java,":zap: Universal Workflow Orchestration Platform — Code in any language, run anywhere. 800+ plugins for data, infrastructure, and AI automation."
89,apache/shardingsphere,20428,https://github.com/apache/shardingsphere.git,https://github.com/apache/shardingsphere,Java,"Empowering Data Intelligence with Distributed SQL for Sharding, Scalability, and Security Across All Databases."
90,kunal-kushwaha/DSA-Bootcamp-Java,20398,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java.git,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java,Java,"This repository consists of the code samples, assignments, and notes for the Java data structures & algorithms + interview preparation bootcamp of WeMakeDevs."
91,didi/DoKit,20387,https://github.com/didi/DoKit.git,https://github.com/didi/DoKit,Java,一款面向泛前端产品研发全生命周期的效率平台。
92,mybatis/mybatis-3,20204,https://github.com/mybatis/mybatis-3.git,https://github.com/mybatis/mybatis-3,Java,MyBatis SQL mapper framework for Java
93,ReactiveX/RxAndroid,20023,https://github.com/ReactiveX/RxAndroid.git,https://github.com/ReactiveX/RxAndroid,Java,RxJava bindings for Android
94,linlinjava/litemall,19878,https://github.com/linlinjava/litemall.git,https://github.com/linlinjava/litemall,Java,又一个小商城。litemall = Spring Boot后端 + Vue管理员前端 + 微信小程序用户前端 + Vue用户移动端
95,yudaocode/SpringBoot-Labs,19833,https://github.com/yudaocode/SpringBoot-Labs.git,https://github.com/yudaocode/SpringBoot-Labs,Java,一个涵盖六个专栏：Spring Boot 2.X、Spring Cloud、Spring Cloud Alibaba、Dubbo、分布式消息队列、分布式事务的仓库。希望胖友小手一抖，右上角来个 Star，感恩 1024
